End_Time,Distance(mi),Temperature(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Speed(mph),Precipitation(in),Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Station,Stop,Traffic_Calming,Traffic_Signal,Duration,Region,State_CA,State_FL,State_Others,State_TX,City_Charlotte,City_Houston,City_Los Angeles,City_Miami,City_Orlando,City_Others,Weather_Condition_Clear / Cloudy,Weather_Condition_Fog / Low Visibility,Weather_Condition_Others,Weather_Condition_Snow,Weather_Condition_Thunderstorms / Severe Weather,Weather_Year,Weather_Month,Weather_Day,Wind_Direction_CALM,Wind_Direction_E,Wind_Direction_ENE,Wind_Direction_ESE,Wind_Direction_East,Wind_Direction_N,Wind_Direction_NE,Wind_Direction_NNE,Wind_Direction_NNW,Wind_Direction_NW,Wind_Direction_North,Wind_Direction_S,Wind_Direction_SE,Wind_Direction_SSE,Wind_Direction_SSW,Wind_Direction_SW,Wind_Direction_South,Wind_Direction_VAR,Wind_Direction_Variable,Wind_Direction_W,Wind_Direction_WNW,Wind_Direction_WSW,Wind_Direction_West,Weather_Day_of_Week_Friday,Weather_Day_of_Week_Monday,Weather_Day_of_Week_Saturday,Weather_Day_of_Week_Sunday,Weather_Day_of_Week_Thursday,Weather_Day_of_Week_Tuesday,Weather_Day_of_Week_Wednesday,Severity
987,0.1689999999999999,87.0,67.0,29.98,10.0,15.0,0.0,0,0,0,0,0,0,0,0,0,0,0,100.33333333333331,3,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,2020,10,28,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
998,0.0,75.0,15.0,29.83,10.0,17.0,0.0,0,0,1,0,0,0,0,0,0,0,1,55.18333333333333,9,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2019,10,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
529,0.253,41.0,65.0,25.88,6.0,18.0,0.0,0,0,0,0,0,0,0,0,0,0,0,142.13333333333333,9,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2022,4,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2
951,0.0,79.0,84.0,29.94,10.0,5.8,0.0,0,0,0,0,0,0,0,0,0,0,1,44.766666666666666,3,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,2018,11,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
95,0.611,57.0,59.0,29.71,10.0,3.0,0.0,0,0,0,0,0,0,0,0,0,0,0,24.5,9,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,2022,5,23,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2
450,0.434,58.0,72.0,29.02,10.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,27.416666666666668,3,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,2019,4,23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4
533,0.0,32.0,85.0,30.08,0.8,13.8,0.02,0,0,0,0,0,0,0,0,0,0,0,29.683333333333337,5,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,2018,11,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,3
508,0.0,71.0,75.0,29.99,10.0,8.0,0.0,0,0,0,0,0,0,0,0,0,0,0,66.65,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,2022,7,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
765,0.0,81.0,65.0,29.42,10.0,14.0,0.0,0,0,0,0,0,0,0,0,0,0,0,45.95,4,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,2022,5,25,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
1177,0.041,77.0,41.0,29.72,10.0,10.0,0.0,0,0,0,0,0,0,0,0,0,0,0,232.56666666666663,2,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,2022,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2
1118,0.0,81.0,65.0,29.12,10.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,29.883333333333333,2,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,2019,8,23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
801,4.25,62.0,52.0,29.33,10.0,5.0,0.0,0,0,0,0,0,0,0,0,0,0,0,99.78333333333332,5,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,2021,5,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2
964,0.185,60.0,42.0,29.93,10.0,24.0,0.0,0,0,0,0,0,0,0,0,0,0,0,78.86666666666666,9,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2022,2,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2
94,0.034,63.0,81.0,29.86,10.0,5.0,0.0,0,0,0,0,0,0,0,0,0,0,0,125.5,9,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2021,6,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2
1428,3.955,60.0,69.0,29.7,10.0,8.0,0.0,0,0,0,0,0,0,0,0,0,0,0,75.9,7,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,2021,3,26,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
880,0.1689999999999999,37.0,57.0,29.7,10.0,5.0,0.0,0,0,0,0,0,0,0,0,0,0,0,75.0,2,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,2023,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2
978,0.902,73.0,46.0,29.9,10.0,7.0,0.0,0,0,0,0,0,0,0,0,0,0,0,103.1,9,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2022,5,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2
