End_Time,Distance(mi),Temperature(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Speed(mph),Precipitation(in),Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Station,Stop,Traffic_Calming,Traffic_Signal,Duration,Region,State_CA,State_FL,State_Others,State_TX,City_Charlotte,City_Houston,City_Los Angeles,City_Miami,City_Orlando,City_Others,Weather_Condition_Clear / Cloudy,Weather_Condition_Fog / Low Visibility,Weather_Condition_Others,Weather_Condition_Snow,Weather_Condition_Thunderstorms / Severe Weather,Weather_Year,Weather_Month,Weather_Day,Wind_Direction_CALM,Wind_Direction_E,Wind_Direction_ENE,Wind_Direction_ESE,Wind_Direction_East,Wind_Direction_N,Wind_Direction_NE,Wind_Direction_NNE,Wind_Direction_NNW,Wind_Direction_NW,Wind_Direction_North,Wind_Direction_S,Wind_Direction_SE,Wind_Direction_SSE,Wind_Direction_SSW,Wind_Direction_SW,Wind_Direction_South,Wind_Direction_VAR,Wind_Direction_Variable,Wind_Direction_W,Wind_Direction_WNW,Wind_Direction_WSW,Wind_Direction_West,Weather_Day_of_Week_Friday,Weather_Day_of_Week_Monday,Weather_Day_of_Week_Saturday,Weather_Day_of_Week_Sunday,Weather_Day_of_Week_Thursday,Weather_Day_of_Week_Tuesday,Weather_Day_of_Week_Wednesday,Severity
947,0.0,66.0,87.0,29.09,10.0,6.0,0.03,0,0,0,0,0,0,0,0,0,0,0,59.266666666666666,7,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,2022,5,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
1158,0.0,61.0,48.0,30.09,10.0,8.0,0.0,0,0,0,0,0,0,0,0,0,0,1,139.3,2,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,2022,2,16,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
356,0.0,72.0,73.0,29.26,10.0,3.0,0.0,1,0,1,0,0,0,0,0,0,0,1,29.75,4,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,2022,7,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
1014,0.0,104.0,25.0,28.49,10.0,18.0,0.0,0,0,1,0,0,0,0,0,0,0,1,74.76666666666667,7,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,2022,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
1061,0.0,85.0,18.0,29.9,10.0,8.0,0.0,0,0,0,0,0,0,0,0,0,0,0,15.0,9,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2020,5,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
403,0.004,45.0,90.0,30.07,10.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,28.316666666666663,9,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2020,4,24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
937,0.0,87.0,36.0,29.93,10.0,8.0,0.0,0,0,1,0,0,0,0,0,0,0,1,45.0,3,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,2020,3,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
527,0.0,72.0,97.0,30.0,10.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,59.75,3,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,2022,8,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
1286,0.0,94.0,11.0,28.17,10.0,10.0,0.0,0,0,1,0,0,0,0,0,0,0,1,64.96666666666667,8,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,2020,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
528,0.0,53.0,93.0,30.19,5.0,7.0,0.0,0,0,0,0,1,0,0,0,0,0,0,19.983333333333334,2,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,2020,3,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
